"","Dimension","Index","Indicator"
"1","Economics","Access to capital/credit","Access to land"
"2","Economics","Community economy","Business failure rate of food business"
"3","Economics","Community economy","Wealth/income distribution"
"4","Economics","Food business resilience","Income stability"
"5","Economics","Food business resilience","Market mix"
"6","Economics","Food business resilience","Marketplace"
"7","Economics","Food business resilience","Operations diversification"
"8","Economics","Food business resilience","Use of ag/farm/crop insurance"
"9","Economics","Tbd index","Market vacancy/health index"
"10","Economics","Tbd index","Precarity index"
"11","Economics","Value from rural landscape","Diversity of farm types"
"12","Environment","Carbon, ghg, nutrients","Carbon fluxes"
"13","Environment","Carbon, ghg, nutrients","Carbon stocks"
"14","Environment","Carbon, ghg, nutrients","Embodied carbon"
"15","Environment","Forest","Forest complexity"
"16","Environment","Forest","Forest health"
"17","Environment","Species and habitat","Biodiversity"
"18","Environment","Species and habitat","Land use diversity"
"19","Environment","Species and habitat","Sensitive or rare habitats"
"20","Environment","Water","Water quality"
"21","Environment","Water","Water quantity"
"22","Production","Production margins","Yield"
"23","Economics","Distribution chain localness","% Of farm/business inputs bought locally"
"24","Environment","Soils","Biology"
"25","Environment","Soils","Chemistry"
"26","Environment","Soils","Structure"
