"","X","dimension","index","indicator","metric","variable_name","has_county"
"1",1,"economics","access to capital/credit","access to land","Mean acres per farm","acresPF",TRUE
"2",2,"economics","access to capital/credit","access to land","Median acres per farm","medianAcresPF",TRUE
"3",3,"economics","access to capital/credit","access to land","Land and building value per acre","landValPerAcre",TRUE
"4",4,"economics","access to capital/credit","access to land","Land and building value per farm","landValPF",TRUE
"5",5,"economics","access to capital/credit","access to land","Capital expenditures, buildings and land, exc...","totalCapExpBldgsLandNoDwellings",FALSE
"6",6,"economics","access to capital/credit","access to land","Capital consumption, all, excl. operator dwel...","totalCapConsNoDwellings",FALSE
"7",7,"economics","access to capital/credit","access to land","Interest expenses, real estate, excl. operato...","totalIntExpRealEstateNoDwellings",FALSE
"8",9,"economics","community economy","wealth/income distribution","Median earnings (dollars) for female, farming...","medianFemaleEarningsFFF",TRUE
"9",10,"economics","community economy","wealth/income distribution","Median earnings (dollars) for female, food pr...","medianFemaleEarningsFPS",TRUE
"10",11,"economics","community economy","wealth/income distribution","Median earnings (dollars) for male, farming, ...","medianMaleEarningsFFF",TRUE
"11",12,"economics","community economy","wealth/income distribution","Median earnings (dollars) for male, food prep...","medianMaleEarningsFPS",TRUE
"12",13,"economics","community economy","wealth/income distribution","Women's earnings as a percentage of men's ear...","womenEarnPercMenFFF",TRUE
"13",14,"economics","community economy","wealth/income distribution","Women's earnings as a percentage of men's ear...","womenEarnPercMenFPS",TRUE
"14",15,"economics","community economy","wealth/income distribution","Gender pay gap","genderPayGap",TRUE
"15",16,"economics","community economy","wealth/income distribution","Income inequality","incomeInequality",TRUE
"16",17,"economics","community economy","wealth/income distribution","Gini Index","gini",TRUE
"17",18,"economics","community economy","wealth/income distribution","Unemployment Rate","unemploymentRate",TRUE
"18",19,"economics","food business resilience","income stability","Net return to operators","netReturnOperators",FALSE
"19",20,"economics","food business resilience","income stability","Labor expenses as percentage of expenses","expHiredLaborPercOpExp",TRUE
"20",21,"economics","food business resilience","income stability","mean farm related income per operation","farmIncomePF",TRUE
