Dimension,Index,Indicator
Economics,Food business profitability,Total sales/revenue
Economics,Food business profitability,Total costs
Economics,Food business profitability,Labor costs
Economics,Food business profitability,Price
Economics,Food business profitability,Exchange rate
Economics,Food business profitability,Acreage in production
Economics,Value from rural landscape,Diversity of farm types
Economics,Value from rural landscape,Open acres
Economics,Value from rural landscape,Forest cover
Economics,Value from rural landscape,VT terroir/VT brand
Economics,Food business resilience,Use of Ag/farm/crop insurance
Economics,Food business resilience,Balance sheet (assets and liabilities)
Economics,Food business resilience,Operations diversification
Economics,Food business resilience,Business growth/fixed mindset
Economics,Food business resilience,Enterprise agility/flexibility
Economics,Food business resilience,Income stability
Economics,Food business resilience,Perceived viability
Economics,Food business resilience,Confidence in future
Economics,Food business resilience,Marketplace
Economics,Food business resilience,Market mix
Economics,Distribution chain localness,Percent local sales
Economics,Distribution chain localness,Percent of farm/business inputs bought locally
Economics,Distribution chain localness,Percent direct-to-consumer sales
Economics,Distribution chain localness,Consumer awareness of VT products
Economics,Distribution chain localness,Distribution chain capacity
Economics,Community economy,Wealth/income distribution
Economics,Community economy,Availability of good-paying jobs in food systems
Economics,Community economy,Business failure rate of food business
Economics,Community economy,In vs. out of state ownership
Economics,Community economy,Employee numbers
Economics,Community economy,Employee Retention
Economics,Community economy,Wage rate
Economics,Exogenous factors for business,Commodity price fluctuation
Economics,Access to capital/credit,Access to credit
Economics,Access to capital/credit,Access to land
Economics,Access to capital/credit,Capital markets
Economics,Farmer personal finance,Operator salary/wage
Economics,Farmer personal finance,Operator labor (time and tasks)
Economics,Farmer personal finance,Satisfaction and/or success scale
Economics,Farmer personal finance,Dependence on off-farm income
Economics,Farmer personal finance,Commercial intent
Economics,Consumer preferences,Preferences of plant based proteins
