dimension,index,indicator,metric,variable_name,n,rho,est,se,t,ci_low,ci_high,p,sig,reverse,outcome
economics,community economy,access to land,Land and building value per acre,landValPerAcre,183,0.08004530232784972,130.20422369665388,16.90424295175005,7.7024581383678115,97.07251632530874,163.335931067999,1.3347335075345504e-14,TRUE,FALSE,better
economics,community economy,wealth and income distribution,Average weekly wages,annualAvgWklyWageNAICS11,76,-0.06541995300430253,5091.845419804076,756.8613631306977,6.7275800666347365,3608.424406778018,6575.266432830134,1.7250791559323106e-11,TRUE,FALSE,better
economics,community economy,wealth and income distribution,Gini Index,gini,209,-0.052039244955224474,1206.3150936556988,819.2994743134124,1.4723738162612792,-399.4823685511883,2812.112555862586,0.14091995981816918,FALSE,TRUE,
economics,food business resilience,farm insurance,Total indemnities,totalIndemnities,184,0.08489504144544388,820.4967822172738,211.22762313845882,3.8844198974839648,406.4982483258952,1234.4953161086523,1.0257450282308812e-4,TRUE,TRUE,worse
economics,food business resilience,income stability,Expenses per operation,expPF,97,0.03353857275060431,1101.589507945528,170.72731607861724,6.45233307268922,766.9701172542523,1436.208898636804,1.1014117441595354e-10,TRUE,TRUE,worse
environment,"carbon, ghg, and nutrients",embodied carbon,Fuel expenses,fuelExpensePropTotalExpense,196,0.20495913799086257,6.67143083451346,2.8781558714740267,2.317953277178395,1.0303489845318765,12.312512684495044,0.02045186047275247,TRUE,TRUE,worse
environment,forests,forest complexity,Tree size diversity,sizeDiversity,74,0.3114063427840107,146.70065543909703,53.94183700672444,2.7196080738001043,40.97659764598728,252.42471323220678,0.006535933284895142,TRUE,FALSE,better
environment,forests,forest complexity,Tree species diversity,treeDiversity,78,0.07292824134832777,-126.8553134470407,84.19966068642672,-1.506601242960712,-291.8836159029301,38.17298900884872,0.13191289862527997,FALSE,FALSE,
environment,forests,forest health,Proportion of invasive species,propInvasive,78,0.14542279978815792,13.646470097546427,9.253828211200286,1.474683750993945,-4.490699915526843,31.783640110619697,0.14029758661460906,FALSE,TRUE,
environment,species and habitat,biodiversity,Rarefied richness of plants,animalRar,206,0.3984214326324617,591.0336401215857,83.96634619217274,7.0389348462167725,426.46262567150524,755.6046545716661,1.9371491686432046e-12,TRUE,FALSE,better
environment,species and habitat,land use diversity,Land Use Diversity,lulcDiversity,209,-0.17844620431830852,-26.195996190438926,116.59430785174422,-0.22467645868054306,-254.71664038223318,202.3246480013553,0.8222309796636951,FALSE,FALSE,
environment,water,water quantity,Annual precipitation,annualPrecipMM,209,0.1268718242326197,17.42564139633808,31.637816279716713,0.5507852135644967,-44.58333906140167,79.43462185407782,0.5817809215767038,FALSE,FALSE,
environment,water,water quantity,Weeks of extreme drought,droughtNonConWeeksCat2,200,0.33482842221638603,-341.9082714757083,70.18937509462144,-4.871225467028107,-479.47691875853894,-204.3396241928777,1.109081885856e-6,TRUE,TRUE,better
health,education,educational attainment,High school graduation rate,edPercHSOrMore,208,-0.017877184615252235,-1902.0277366855732,613.5831310213165,-3.0998696680588744,-3104.6285750086745,-699.426898362472,0.0019360581402190589,TRUE,FALSE,worse
health,food security,food access,Limited access to healthy foods,limitedAccessToHealthyFoods,209,-0.13989799485284402,-20.878601794424497,206.6536804002706,-0.10103184106851823,-425.91237265160566,384.1551690627566,0.91952518397174,FALSE,TRUE,
health,food security,food affordability,Price of a meal,costPerMeal,209,-0.08729299384354149,1078.7973176221162,80.41180560332054,13.415907148558894,921.1930747077719,1236.4015605364607,4.879258266392213e-41,TRUE,TRUE,worse
health,food security,food security rate,"Food insecurity rate, overall",foodInsecurityRate,209,-1.2399633967447946e-4,-212.74737555978567,90.416460878992,-2.3529717209846788,-389.9603824921847,-35.53436862738664,0.018624050403700913,TRUE,TRUE,better
health,mental health,stress and anxiety,Poor mental health days,poorMentalHealthDays,209,-0.046576374526865603,2462.5894668216124,350.25524131555784,7.030842586600938,1776.1018084467337,3149.077125196491,2.0529000654135913e-12,TRUE,TRUE,worse
health,physical health,access to care,Proportion uninsured,uninsured,209,-0.001018121376254476,283.5458431345204,393.7557108124387,0.7201059828427083,-488.201168764828,1055.2928550338688,0.4714597441448151,FALSE,TRUE,
health,physical health,"mobility, pain",Frequent physical distress,frequentPhysicalDistress,209,0.13620980399852595,-2069.7105665450317,501.90061433117523,-4.1237458322363185,-3053.4176944526625,-1086.003438637401,3.727602158584124e-5,TRUE,TRUE,better
health,physical health,prevalence of diet-related disease,Diabetes prevelance,diabetesPrevalence,209,0.0321147706286908,-1539.3889547902716,310.10123873912556,-4.964149646900609,-2147.1762142802145,-931.6016953003286,6.900272524942471e-7,TRUE,TRUE,better
health,physical health,prevalence of diet-related disease,Heart disease prevalence,heartDisease,188,0.04597786923757682,-784.0018823274477,213.33588283605783,-3.6749649046613007,-1202.1325292961776,-365.87123535871774,2.3788211168311262e-4,TRUE,TRUE,better
production,product quality,certificates of assurance,Proportion of organic operations,propOpsOrganic,162,0.13668611589784965,592.0712654771894,286.9002899731769,2.063683050067826,29.757029975664864,1154.385500978714,0.039047777476169235,TRUE,FALSE,better
production,production diversity,crop diversity,Crop diversity,cropDiversity,199,-0.017426010721707966,53.26213014640847,353.34181007292614,0.15073826144552693,-639.2750918287187,745.7993521215357,0.8801821897995548,FALSE,FALSE,
production,production margins,total quantity food products,Total animal and crop sales,salesAnimalAndCrop,177,0.08260430571926416,19499.180688815366,6221.875755523578,3.1339714026762158,7304.528291706218,31693.833085924514,0.0017245766237505402,TRUE,FALSE,better
social,food and farmworker diversity,age diversity,Producer age skew,producerAgeSkew,208,-0.11217681229782459,-51.60621154763796,56.523728273900495,-0.913000842718063,-162.39068323641126,59.17826014113533,0.361242098324862,FALSE,TRUE,
social,food and farmworker diversity,gender diversity,Ratio of female to male producers,ftmProdRatio,207,-0.1160821220994391,-12.599761089860033,14.667472182405588,-0.8590274406638464,-41.34747831161808,16.14795613189802,0.39032537688209673,FALSE,FALSE,
social,food and farmworker diversity,racial diversity,Racial diversity of producers,producerRacialDiversity,208,0.10061326612462294,39.55605538021087,27.950162383876396,1.4152352618541337,-15.225256254233031,94.33736701465477,0.15699952898358652,FALSE,FALSE,
social,food system governance,community safety,Firearm fatalities,firearmFatalities,194,-6.876650420838036e-4,143.49544787017103,267.4064355222739,0.5366192761588134,-380.61153498771785,667.6024307280599,0.5915306263106072,FALSE,TRUE,
social,stewardship participation,conservation program,Acres in conservation easements,consEasementAcres,178,-0.04578801183836974,211.95959554115856,706.9216382022413,0.2998346409089824,-1173.5813552272884,1597.5005463096054,0.7643032906351093,FALSE,FALSE,
