var_1,var_2,cor,p,sig
Social isolation,Social isolation,1,NA,NA
Ratio of female to male producers,Social isolation,0.2403000768698899,0.17797143977531116,
Racial diversity of producers,Social isolation,-0.24704975566557139,0.16572688081666676,
Producer age skew,Social isolation,0.028892639380228236,0.8731891370054825,
Firearm fatalities,Social isolation,0.35885295697281017,0.04028242396751103,*
Annual population change,Social isolation,-0.5012568202106764,0.0029628768704759167,*
Acres in conservation easements,Social isolation,0.2899296650240396,0.10169941306534325,
Total animal and crop sales,Social isolation,-0.040096282972709486,0.8246695360803751,
Proportion of organic operations,Social isolation,0.29177173204381796,0.09944607666689631,
Proportion of operations using precision agriculture,Social isolation,-0.15653434745410869,0.3843389666152368,
Crop diversity,Social isolation,-0.18897319576083657,0.29223218854786404,
Rental vacancy rate,Social isolation,-0.0723711151934907,0.6889829331228767,
Proportion uninsured,Social isolation,0.04202437582631522,0.816378298231689,
Price of a meal,Social isolation,-0.045235395164650624,0.8026138685680948,
Poor mental health days,Social isolation,0.5300475025773687,0.0015106883305737728,*
Mobility disability,Social isolation,-0.03711972879445157,0.8375056891649502,
Limited access to healthy foods,Social isolation,0.04308906821036393,0.8118081787410563,
Lacking social support,Social isolation,0.18584714372654465,0.3004349745553192,
High school graduation rate,Social isolation,0.06659670203162334,0.7127040306786392,
Heart disease prevalence,Social isolation,0.014265834523288853,0.9371957158205277,
Frequent physical distress,Social isolation,0.2272806151263818,0.20336977542152246,
"Food insecurity rate, overall",Social isolation,0.40168828458648065,0.020498059281408132,*
Diabetes prevelance,Social isolation,-0.15937470228749487,0.37566170623877193,
Weeks of extreme drought,Social isolation,-0.28892783680505246,0.10294102382399983,
Tree species diversity,Social isolation,0.3548746941644323,0.04271467851692856,*
Tree size diversity,Social isolation,0.1589092604011357,0.3770756902427448,
Total ecosystem carbon per acre,Social isolation,0.44670723299071824,0.009158782846103719,*
Soil organic carbon,Social isolation,0.5639508180510888,6.308723855141807e-4,*
Rarefied richness of plants,Social isolation,0.12661725171443478,0.48258639201598097,
Rarefied richness of animals,Social isolation,0.30285702372528744,0.08667663155724492,
Proportion of invasive species,Social isolation,-0.3128214851434033,0.07630809603123412,
Land Use Diversity,Social isolation,-0.43694195021746474,0.011006154271269608,*
Fuel expenses,Social isolation,0.01578535811371608,0.9305214500477663,
Available water storage,Social isolation,0.5155225412459717,0.0021376494608515983,*
Annual precipitation,Social isolation,0.18031180760548152,0.3153138849842452,
Total indemnities,Social isolation,-0.008210145998166453,0.9638316627520425,
Sales from agritourism and recreation,Social isolation,-0.02512575415119242,0.8896138847952653,
Percent change in wages,Social isolation,-0.14974564890074804,0.40554478278759776,
Market channel ratio,Social isolation,-0.295750284694558,0.09470865862951117,
Land and building value per acre,Social isolation,-0.5459201773847007,0.0010152884558265463,*
Gini Index,Social isolation,-0.1663074014719195,0.3549710299117952,
Expenses per operation,Social isolation,-0.2201421747500531,0.21831204235266477,
Change in agricultural establishments,Social isolation,0.12939109041589555,0.4729666765867353,
Average weekly wages,Social isolation,-0.16941722008515087,0.3459165776771278,
Social isolation,Ratio of female to male producers,0.2403000768698899,0.17797143977531116,
Ratio of female to male producers,Ratio of female to male producers,1,NA,NA
Racial diversity of producers,Ratio of female to male producers,-0.0042464555478707745,0.9812885315375457,
Producer age skew,Ratio of female to male producers,-0.2825377682564544,0.11113176231344557,
Firearm fatalities,Ratio of female to male producers,0.22363824663795526,0.21090300785371507,
Annual population change,Ratio of female to male producers,-0.1757072576249207,0.32803517017952877,
Acres in conservation easements,Ratio of female to male producers,0.2973714174386584,0.09282838087952783,
Total animal and crop sales,Ratio of female to male producers,-0.361491081478205,0.03873198539055611,*
Proportion of organic operations,Ratio of female to male producers,0.1526752965338666,0.3963131903627797,
Proportion of operations using precision agriculture,Ratio of female to male producers,-0.23319685990671224,0.19153434072390008,
Crop diversity,Ratio of female to male producers,-0.10556619096385855,0.5587587042090791,
Rental vacancy rate,Ratio of female to male producers,0.0076651286140122015,0.9662312279842444,
Proportion uninsured,Ratio of female to male producers,-0.09278426417972632,0.6075572935255695,
Price of a meal,Ratio of female to male producers,0.18110978992446655,0.31314101628298685,
Poor mental health days,Ratio of female to male producers,0.23826893170739621,0.1817782757590105,
Mobility disability,Ratio of female to male producers,0.017213290952385805,0.9242537048278467,
Limited access to healthy foods,Ratio of female to male producers,-0.2888484013046311,0.10303995986554293,
Lacking social support,Ratio of female to male producers,-0.5033784377784221,0.0028249448261874477,*
High school graduation rate,Ratio of female to male producers,-0.05355588970205874,0.7672263103457788,
Heart disease prevalence,Ratio of female to male producers,0.12025168875989296,0.5050386136869758,
Frequent physical distress,Ratio of female to male producers,0.013085784580142382,0.9423818162993935,
"Food insecurity rate, overall",Ratio of female to male producers,0.20961559218061296,0.24168615083478961,
Diabetes prevelance,Ratio of female to male producers,-0.20594684341683414,0.25021171473145354,
Weeks of extreme drought,Ratio of female to male producers,-0.2798853601969108,0.11467159527314852,
Tree species diversity,Ratio of female to male producers,0.19400132811644527,0.2793413211283826,
Tree size diversity,Ratio of female to male producers,0.1644888005701669,0.3603312718823335,
Total ecosystem carbon per acre,Ratio of female to male producers,0.29844384515094735,0.09160026370177143,
Soil organic carbon,Ratio of female to male producers,0.4947928071071675,0.003419723116489415,*
Rarefied richness of plants,Ratio of female to male producers,0.19653683763715063,0.272982566881816,
Rarefied richness of animals,Ratio of female to male producers,0.14655999368258116,0.4157202854437283,
Proportion of invasive species,Ratio of female to male producers,-0.08264875986043997,0.647485685390917,
Land Use Diversity,Ratio of female to male producers,-0.4057130703806843,0.019153381860567364,*
Fuel expenses,Ratio of female to male producers,-0.13764851787352556,0.44493379436886693,
Available water storage,Ratio of female to male producers,0.24335058748723887,0.1723606103274551,
Annual precipitation,Ratio of female to male producers,0.4032883919513225,0.019954387393446682,*
Total indemnities,Ratio of female to male producers,-0.23445804873703824,0.18907496729734818,
Sales from agritourism and recreation,Ratio of female to male producers,0.0894176681456654,0.6207042112758037,
Percent change in wages,Ratio of female to male producers,-0.11872592847737796,0.5104967819761121,
Market channel ratio,Ratio of female to male producers,-0.349919112585921,0.045908018138282713,*
Land and building value per acre,Ratio of female to male producers,-0.308799876633518,0.08037042464456867,
Gini Index,Ratio of female to male producers,0.25990511052939774,0.1440949897030377,
Expenses per operation,Ratio of female to male producers,-0.5478755940933725,9.654659307880564e-4,*
Change in agricultural establishments,Ratio of female to male producers,0.24945750240613082,0.16150838108543875,
Average weekly wages,Ratio of female to male producers,0.14659983245795372,0.41559215587309906,
Social isolation,Racial diversity of producers,-0.24704975566557139,0.16572688081666676,
Ratio of female to male producers,Racial diversity of producers,-0.0042464555478707745,0.9812885315375457,
Racial diversity of producers,Racial diversity of producers,1,NA,NA
Producer age skew,Racial diversity of producers,0.14245044179849853,0.4290560932554339,
Firearm fatalities,Racial diversity of producers,-0.44591330877689905,0.009298437575279817,*
Annual population change,Racial diversity of producers,0.3614106013906187,0.03877856050879869,*
Acres in conservation easements,Racial diversity of producers,-0.4739236994893353,0.005334637825169519,*
Total animal and crop sales,Racial diversity of producers,0.018502425076759508,0.9185990273310416,
Proportion of organic operations,Racial diversity of producers,-0.2077364621638883,0.2460283302623265,
Proportion of operations using precision agriculture,Racial diversity of producers,0.008354577289716825,0.963195821892876,
Crop diversity,Racial diversity of producers,0.42602733353694455,0.013433849022640665,*
Rental vacancy rate,Racial diversity of producers,-0.4361179059380456,0.011175495327777174,*
