"","dimension","index","indicator","metric","variable_name"
"1","economics","access to capital/credit","access to land","Capital expenditures, buildings and land, exc...","totalCapExpBldgsLandNoDwellings"
"2","economics","access to capital/credit","access to land","Capital consumption, all, excl. operator dwel...","totalCapConsNoDwellings"
"3","economics","access to capital/credit","access to land","Interest expenses, real estate, excl. operato...","totalIntExpRealEstateNoDwellings"
"4","economics","food business resilience","income stability","Net return to operators","netReturnOperators"
"5","economics","food business resilience","use of ag/farm/crop insurance","Proportion of area (by county) affected by FS...","propAreaFsaSecDisasters"
"6","environment","carbon, ghg, nutrients","carbon fluxes","Total CH4 emissions from agriculture (Tg)","CH4FromAg"
"7","environment","carbon, ghg, nutrients","carbon fluxes","Total CO2 emissions from agriculture (Tg)","CO2FromAg"
"8","environment","carbon, ghg, nutrients","carbon fluxes","Total N2O emissions from agriculture (Tg)","N2OFromAg"
"9","environment","carbon, ghg, nutrients","embodied carbon","Operations using geoexchange","geoexchangeNOps"
"10","environment","carbon, ghg, nutrients","embodied carbon","Operations with methane digesters","methaneNOps"
"11","environment","carbon, ghg, nutrients","embodied carbon","Operations with solar power","solarNOps"
"12","environment","carbon, ghg, nutrients","embodied carbon","Operations with wind power","windTurbinesNOps"
"13","environment","species and habitat","biodiversity","Percentage of animal species at risk","pctAtRiskAnimalSpp"
"14","environment","species and habitat","biodiversity","Percentage of bee species at risk","pctAtRiskBeeSpp"
"15","environment","species and habitat","biodiversity","Percentage of orchid species at risk","pctAtRiskOrchidSpp"
"16","environment","species and habitat","biodiversity","Percentage of plant species at risk","pctAtRiskPlantSpp"
"17","environment","species and habitat","biodiversity","Total number of animal species","sppAnimals"
"18","environment","species and habitat","biodiversity","Total number of bee species","sppBees"
"19","environment","species and habitat","biodiversity","Total number of orchid species","sppOrchids"
"20","environment","species and habitat","biodiversity","Total number of plant species","sppPlants"
"21","environment","species and habitat","sensitive or rare habitats","Percentage of ecosystems at risk","pctAtRiskEcosystems"
"22","environment","species and habitat","sensitive or rare habitats","Total number of ecosystems","nEcosystems"
"23","environment","water","water quality","Lake habitat complexity condition class","lakesLitripcvrCond"
"24","environment","water","water quality","Riparian vegetation condition class","lakesRvegCond"
"25","environment","water","water quality","Riparian vegetation condition, based on L_XCM...","riversRipvegCond"
"26","environment","water","water quality","Site condition class based on conductivity","riversSalCond"
"27","environment","water","water quality","Site condition class based on total nitrogen ...","riversNtlCond"
"28","environment","water","water quality","Site condition class based on total phosphoru...","riversPtlCond"
"29","environment","water","water quantity","Expenses from water for irrigation sourced of...","waterIrrSrcOffFarmExpPerAcreFt"
"30","environment","water","water quantity","Total expenses from water for irrigation sour...","waterIrrSrcOffFarmExp"
"31","environment","water","water quantity","Mean percent area in drought","droughtMeanPercArea"
"32","health","food security","access to culturally appropriate food","SFAs serving culturally relevant food","sfaCulturallyRelevant"
"33","health","food security","dietary quality","SFAs percentage of spending on local food","sfaLocalFoodCosts"
"34","health","food security","dietary quality","SFAs serving local food","sfaServeLocal"
"35","health","food security","dietary quality","SFAs with Farm to School program","sfaFarmToSchool"
"36","health","food security","food affordability","SNAP participation rates, all eligible people","snapPercPart"
"37","health","food security","food affordability","WIC coverage rate","wicPercPart"
"38","health","food security","food affordability","WIC eligibility rate","wicPercEligible"
"39","production","imports vs exports","total quantity exported","Value of total agricultural exports","exportsTotalAgricultural"
"40","production","imports vs exports","total quantity imported","value of top five imports","importsTopFive"
"41","production","production margins","production inputs","Mean chemical expenses per operation","expChemicalPct"
"42","production","production margins","total quantity non-food ag products","Cash receipts value, forest products , all","totalReceiptsAllForestProducts"
"43","production","production margins","total quantity non-food ag products","Value of production, services and forestry, a...","totalValueServicesAndForestry"
"44","production","waste and losses","crop failure","Other farm income, insurance indemnities","totalIncomeInsuranceIndemnities"
"45","production","waste and losses","crop failure","Other farm income, insurance indemnities, fed...","totalIncomeInsuranceIndemnitiesFederal"
"46","production","waste and losses","crop failure","Value of ad hoc and emergency program payment...","totalValueEmergPayments"
"47","production","waste and losses","crop failure","Value of agricultural risk coverage payments,...","totalValueAgRiskCoveragePayments"
"48","production","waste and losses","crop failure","Value of all other ad hoc and emergency progr...","totalValueOtherAdHocEmergPayments"
"49","production","waste and losses","crop failure","Value of dairy margin protection program paym...","totalValueDairyMarginProtPayments"
"50","production","waste and losses","crop failure","Value of price loss coverage payments, all","totalValueAllLossCoveragePayments"
"51","social","food and farmworker diversity","racial diversity","Racial diversity of producers","producerRacialDiversity"
